Index,Surname,#Awards,Education,DBLP
361,Motwani,1,"['IIT Kanpur', 'B.Tech', 'C.S.', 'UC Berkeley', 'Ph.D.', 'C.S.']",211
362,Muggleton,4,['University of Edinburgh'],209
363,Mukhanov,0,[],4
364,Mycroft,0,"['University of Cambridge', 'University of Edinburgh']",122
365,Myers,8,"['University of Toronto', 'Massachusetts Institute of Technology']",375
366,Nadin,0,[],49
367,Nagao,8,['Kyoto University'],104
368,Nake,9,[],29
369,Nardi,0,[],181
370,Naur,2,['Technical University of Denmark'],43
371,Needham,2,['University of Cambridge'],87
372,Nell,0,['Drexel University'],38
373,Nelson,2,"['Harvard University', 'Stanford University']",140
374,Neumann,6,"['Pázmány Péter University', 'University of Berlin', 'ETH Zürich']",122
375,Newell,5,"['Stanford University', 'Princeton University', 'Carnegie Mellon University']",78
376,Newman,3,"[""St John's College, Cambridge""]",24
377,Ng,9,"['University of California, Berkeley', 'Massachusetts Institute of Technology', 'Carnegie Mellon University']",1002
378,Nijssen,0,['Eindhoven University of Technology'],0
379,Nilsson,6,['Stanford University'],1832
380,Nipkow,0,[],219
381,Nivat,7,['Joseph Fourier University'],110
382,Noe,0,"['UC Berkeley', 'Stanford University']",21
383,Nordin,0,"['University of Dortmund', 'Chalmers University of Technology', 'Göteborg University']",50
384,Norman,4,"['MIT', 'University of Pennsylvania']",198
385,Norvig,2,"['Brown University', 'University of California, Berkeley']",41
386,Nygaard,4,"['M.Sc.', 'University of Oslo']",22
387,O'Hearn,9,"['Dalhousie University', ""Queen's University""]",110
388,O'Sullivan,2,[],207
389,Odersky,0,"['Ludwig Maximilian University of Munich', 'ETH Zurich']",140
390,Olle,0,['University of Manchester'],0
391,Omohundro,0,"['Stanford University', 'University of California, Berkeley']",6
392,Ornstein,0,[],11
393,Ousterhout,2,"[""Bachelor's degree"", 'Ph.D']",83
394,Overmars,0,['Utrecht University'],242
395,Owicki,0,['Cornell University'],36
396,Page,9,"['University of Michigan', 'BS', 'Stanford University', 'MS']",20
397,Pal,2,"['Rajabazar Science College', 'University of Calcutta', 'Indian Statistical Institute', 'Imperial College London']",426
398,Pandya,2,[],82
399,Papadimitriou,5,"['Athens Polytechnic', 'Princeton University']",576
400,Park,0,"['University of Oxford', 'Massachusetts Institute of Technology']",1883
401,Parnas,0,[],182
402,Paterson,2,"['Ph.D.', 'University of Cambridge']",154
403,Patt,6,[],216
404,Patterson,6,"['University of California, Los Angeles']",452
405,Paulson,1,"['California Institute of Technology', 'Stanford University']",223
406,Pausch,5,"['Brown University', 'Carnegie Mellon University']",81
407,Pavón,0,"['Technical University of Madrid', 'Université Pierre et Marie Curie']",200
408,Pearl,5,"['Technion – Israel Institute of Technology', 'New Jersey Institute of Technology', 'Rutgers University', 'New York University Tandon School of Engineering']",309
409,Perlis,2,"['Chemistry', 'Carnegie Mellon', 'MIT']",52
410,Perlman,11,['MIT'],67
411,Perotto,0,[],4
412,Pham,0,"['Georgia Institute of Technology', 'Supélec', 'MIT Media Lab', 'Harvard University']",4
413,Pieraccini,11,['University of Pisa'],84
414,Pingali,3,"['IIT Kanpur', 'MIT']",226
415,Plotkin,3,"['University of Glasgow', 'University of Edinburgh']",161
416,Pnueli,2,['Stanford University'],277
