Unnamed: 0,Surname,#Awards,Education,DBLP
238,Gutknecht,0,"['Ph.D.', 'ETH Zurich']",47
239,Guy,0,[],579
240,Griesemer,0,[],10
241,Habermann,0,"['Free University of Amsterdam', 'Eindhoven University of Technology']",34
242,Hahn,0,[],66
243,Hall,1,"['University of Washington', 'Rutgers University', 'Eastern Nazarene College', 'Boston University', 'Massachusetts Institute of Technology', 'Harvard University']",289
244,Hall,2,"['University of Southampton', 'City University London', '[5]']",289
245,Halpern,3,['University of Toronto'],634
246,Hamilton,1,"['University of Michigan', 'Earlham College', 'BA']",132
247,Hamming,4,"['University of Chicago', 'University of Nebraska', 'University of Illinois at Urbana–Champaign']",23
248,Han,0,"['University of Wisconsin - Madison', 'PhD', 'University of Science and Technology of China', 'BSc.']",1513
249,Harary,0,"['Brooklyn College', 'University of California, Berkeley']",117
250,Harris,0,"['School of Oriental and African Studies', 'American University in Cairo', ""Quai d'Orsay""]",151
251,Hartmanis,2,"['University of Marburg', 'University of Kansas City', 'Caltech']",135
252,Håstad,4,"['Massachusetts Institute of Technology', 'Uppsala University', 'Stockholm University']",179
253,Hatton,2,"[""King's College, Cambridge""]",50
254,Hawryszkiewycz,0,[],149
255,Jifeng,0,['Fudan University'],311
256,Hehner,0,"['Carleton University', 'B.Sc.', 'University of Toronto', 'M.Sc.', 'Ph.D.']",52
257,Hellman,9,"['New York University', 'Stanford University']",72
258,Heiser,6,"['University of Freiburg', 'Brock University', 'ETH Zurich']",130
259,Hendler,0,"['Yale University', 'Southern Methodist University', 'Brown University']",311
260,Hennessy,9,"['Villanova University', 'BS', 'Stony Brook University', 'MS', 'PhD']",129
261,Herbert,0,['Leeds University'],139
262,Hewitt,0,['MIT'],67
263,Hightower,0,[],4
265,Hinton,9,"['University of Cambridge', 'BA', 'University of Edinburgh']",294
266,Hirschberg,10,"['University of Pennsylvania', 'University of Michigan']",229
267,Ho,7,['Chinese University of Hong Kong'],4275
268,Hoare,7,"['University of Oxford', 'Moscow State University']",194
269,Hodes,0,"['B.S.', 'Polytechnic Institute of Brooklyn', 'Ph.D.', 'MIT']",16
271,Holland,3,['University of Michigan'],104
273,Holzmann,2,['Delft University of Technology'],149
274,Hopcroft,8,"['Seattle University', 'Stanford University']",203
275,Hopper,9,"['Vassar College', 'BA', 'Yale University', 'MS', 'PhD']",8
276,Horvitz,0,['Stanford University'],422
277,Householder,0,['University of Chicago'],12
278,Hudak,6,"['Vanderbilt University', 'B.S.', 'Massachusetts Institute of Technology', 'M.S.', 'University of Utah', 'Ph.D.']",102
279,Huffman,2,"['Ohio State University', 'Massachusetts Institute of Technology']",46
280,Hughes,3,"['University of Oxford', 'PhD']",534
281,Hui,1,"['University of Alberta', 'University of Toronto']",109
